state,effective_date,old_minimum_wage,new_minimum_wage,nominal_change,pct_change,policy_year,source_url,source_name,verified,notes
MI,2018-01-01,8.9,9.25,0.34999999999999964,0.03932584269662917,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2019-01-01,9.25,9.45,0.1999999999999993,0.021621621621621546,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2020-01-01,9.45,9.65,0.20000000000000107,0.021164021164021277,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2022-01-01,9.65,9.87,0.21999999999999886,0.022797927461139778,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MI,2023-01-01,9.87,10.1,0.23000000000000043,0.023302938196555264,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMI,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2015-01-01,8.0,9.0,1.0,0.125,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2016-01-01,9.0,9.5,0.5,0.05555555555555555,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2018-01-01,9.5,9.65,0.15000000000000036,0.015789473684210565,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2019-01-01,9.65,9.86,0.20999999999999908,0.021761658031087986,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2020-01-01,9.86,10.0,0.14000000000000057,0.014198782961460505,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2021-01-01,10.0,10.08,0.08000000000000007,0.008000000000000007,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2022-01-01,10.08,10.33,0.25,0.0248015873015873,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MN,2023-01-01,10.33,10.59,0.2599999999999998,0.02516940948693125,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMN,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2015-01-01,7.5,7.65,0.15000000000000036,0.02000000000000005,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2017-01-01,7.65,7.7,0.04999999999999982,0.006535947712418277,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2018-01-01,7.7,7.85,0.14999999999999947,0.01948051948051941,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2019-01-01,7.85,8.6,0.75,0.09554140127388536,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2020-01-01,8.6,9.45,0.8499999999999996,0.09883720930232555,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2021-01-01,9.45,10.3,0.8500000000000014,0.08994708994709011,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
MO,2022-01-01,10.3,11.15,0.8499999999999996,0.08252427184466016,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGMO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
